Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
CASZ1	Moderate (score=9.55)	Score 1	"Limited: Congenital heart disease (autosomal dominant) [Congenital Heart Disease GCEP, 08/12/2024] "	Discordant	NA
PHF12	Moderate (score=9.5)	Score 1	NA	Discordant	NA
MED13	Moderate (score=9.3)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 05/17/2022]"	Discordant	Yes
NF1	Moderate (score=9.3)	Score 1S	"Definitive: Neurofibromatosis Type 1 (autosomal dominant) [General Gene Curation GCEP, 03/05/2019]

No Known Disease Relationship: Familial ovarian cancer (autosomal dominant) [Breast/Ovarian Cancer GCEP, 02/22/2017]"	Discordant	No
ATRX	Moderate (score=9.25)	Score 1	"Definitive: ATR-X-related syndrome (X-linked) [Intellectual Disability and Autism GCEP, 09/29/2021]"	Discordant	No
BCL11A	Moderate (score=9.15)	Score 1S	"Definitive: Dias-Logan syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/13/2020]"	Discordant	Yes
TBL1XR1	Moderate (score=9.15)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/07/2020]"	Discordant	Yes
IRF2BPL	Moderate (score=9)	Score 1S	"Definitive: Neurodegenerative disease (autosomal dominant) [Epilepsy GCEP, 09/05/2023]"	Discordant	No
AFF2	Moderate (score=8.7)	Score 1	"Definitive: Non-syndromic X-linked intellectual disability (X-linked) [Intellectual Disability and Autism GCEP, 10/20/2017]"	Discordant	Yes
CELF4	Moderate (score=8.5)	Score 1	NA	Discordant	NA
PPP2R5D	Moderate (score=8.5)	Score 1S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/12/2022]"	Discordant	Yes
PSMD6	Moderate (score=8.3)	Score 1	NA	Discordant	NA
RORB	Moderate (score=8.25)	Score 1S	"Moderate: Epilepsy (autosomal dominant) [Epilepsy GCEP, 09/21/2022]"	Discordant	No
TAOK1	Moderate (score=8.25)	Score 1S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 08/04/2021]"	Discordant	Yes
CHD7	Moderate (score=8.1)	Score 1S	"Definitive: CHARGE syndrome (autosomal dominant) [Hearing Loss GCEP, 08/22/2018, Contributors: [Intellectual Disability and Autism GCEP]"	Discordant	No
SPAST	Moderate (score=8.1)	Score 1	NA	Discordant	NA
NR4A2	Moderate (score=7.75)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 05/05/2021]"	Discordant	Yes
BRSK2	Moderate (score=7.7)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/03/2021]"	Discordant	Yes
CACNA1E	Moderate (score=7.5)	Score 1	"Definitive: Developmental and epileptic encephalopathy (autosomal dominant) [Intellectual Disability and Autism GCEP, 12/06/2023]"	Discordant	Yes
MEIS2	Moderate (score=7.5)	Score 1S	"Definitive: Syndromic Intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 04/06/2022]"	Discordant	Yes
BAZ2B	Moderate (score=7.35)	Score 1	"Limited: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 10/19/2022]"	Discordant	Yes
ANK3	Moderate (score=7.3)	Score 1	"Moderate: Intellectual disability (autosomal recessive) [Intellectual Disability and Autism GCEP, 10/07/2020]"	Discordant	Yes
RELN	Disputed (score=7.2); contradictory evidence	Score 1	"Definitive: Lissencephaly with cerebellar hypoplasia (autosomal recessive) [Brain Malformations GCEP, 12/04/2023]

Disputed: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/17/2021]"	Discordant	No
TRPC6	Moderate (score=7.2)	Score 2	NA	Concordant	NA
NRXN2	Moderate (score=7)	Score 1	NA	Discordant	NA
PER2	Moderate (score=6.75)	Score 2	NA	Concordant	NA
NLGN3	Moderate (score=6.5)	Score 1	"Moderate: X-linked Complex NDD (X-linked) [Intellectual Disability and Autism GCEP, 08/15/2018]"	Discordant	Yes
RERE	Moderate (score=6.5)	Score 1S	"Definitive: Complex NDD with or without congenital anomalies (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/21/2023]"	Discordant	Yes
